,acaibowls,asianfusion,bakeries,breakfast_brunch,bubbletea,cafes,coffee,cupcakes,desserts,french,gluten_free,greek,indpak,italian,japanese,mediterranean,mideastern,newamerican,persian,pizza,salad,sandwiches,seafood,sushi,thai,turkish,vegetarian,vietnamese,wine_bars,salvadoran,price_1_percentage,price_2_percentage,price_3_percentage,price_4_percentage,rate_1_percentage,rate_1.5_percentage,rate_2_percentage,rate_2.5_percentage,rate_3_percentage,rate_3.5_percentage,rate_4_percentage,rate_4.5_percentage,rate_5_percentage,zip_code,count,latitude,longitude,income,city
133,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0.2962962962962963,0.7037037037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2962962962962963,0.37037037037037035,0.2962962962962963,0.037037037037037035,90712,27,33.84617786096233,-118.14737359367595,83627,Lakewood
134,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.5714285714285714,0.35714285714285715,0.0,90713,14,33.85368226184909,-118.11940793031887,94110,Lakewood
135,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.5238095238095238,0.47619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.3333333333333333,0.19047619047619047,0.3333333333333333,0.0,90715,21,33.840906641866376,-118.07939495307416,69905,Lakewood
136,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0.6216216216216216,0.3783783783783784,0.0,0.0,0.0,0.02702702702702703,0.0,0.10810810810810811,0.13513513513513514,0.16216216216216217,0.35135135135135137,0.1891891891891892,0.02702702702702703,90716,37,33.83102768121504,-118.07255605502093,38500,Hawaiian Gardens
137,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0.4339622641509434,0.5471698113207547,0.018867924528301886,0.0,0.0,0.0,0.0,0.03773584905660377,0.05660377358490566,0.24528301886792453,0.39622641509433965,0.2641509433962264,0.0,90717,53,33.79427681973578,-118.31809287502108,61077,Lomita
138,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0.5,0.47619047619047616,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.09523809523809523,0.5714285714285714,0.2857142857142857,0.023809523809523808,90720,42,33.80455295804426,-118.06618213888832,97598,Los Alamitos
139,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0.425,0.575,0.0,0.0,0.0,0.0,0.025,0.0,0.075,0.1,0.4,0.3,0.1,90723,40,33.887823317309426,-118.15531993390854,49064,Paramount
140,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0.45,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2625,0.3375,0.275,0.025,90731,80,33.73772407301581,-118.28903162716328,49464,San Pedro
141,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0.4666666666666667,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6666666666666666,0.13333333333333333,0.0,90732,15,33.73508713046884,-118.31076785442787,89440,San Pedro
142,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0.37037037037037035,0.5925925925925926,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7407407407407407,0.18518518518518517,0.07407407407407407,90740,27,33.7468987751205,-118.1007257195728,65299,Seal Beach
143,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0.4166666666666667,0.5,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.6666666666666666,0.25,0.0,90742,12,33.71982768667899,-118.0729484333856,77153,Sunset Beach
144,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,90743,1,33.724493,-118.078405,137361,Seal Beach
145,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0.8444444444444444,0.15555555555555556,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.06666666666666667,0.08888888888888889,0.4,0.35555555555555557,0.06666666666666667,90744,45,33.78419983010417,-118.265977310871,43284,Wilmington
146,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0.6585365853658537,0.3170731707317073,0.024390243902439025,0.0,0.0,0.0,0.024390243902439025,0.024390243902439025,0.0975609756097561,0.21951219512195122,0.36585365853658536,0.2682926829268293,0.0,90745,41,33.82148400879552,-118.27141883911669,73053,Carson
