,STATE,zipcode
18294,CA,95678
18306,CA,95682
18312,CA,95683
18318,CA,95684
18324,CA,95685
18336,CA,95687
18342,CA,95688
18348,CA,95689
18354,CA,95690
18360,CA,95691
18366,CA,95692
18372,CA,95693
18378,CA,95694
18384,CA,95695
18396,CA,95698
18414,CA,95709
18420,CA,95713
18426,CA,95714
18432,CA,95717
18438,CA,95722
18444,CA,95726
18450,CA,95728
18462,CA,95742
18468,CA,95746
18474,CA,95747
18480,CA,95757
18486,CA,95758
18492,CA,95762
18498,CA,95765
18504,CA,95776
18510,CA,95811
18516,CA,95814
18522,CA,95815
18528,CA,95816
18534,CA,95817
18540,CA,95818
18546,CA,95819
18552,CA,95820
18558,CA,95821
18564,CA,95822
18570,CA,95823
18576,CA,95824
18582,CA,95825
18588,CA,95826
18594,CA,95827
18600,CA,95828
18606,CA,95829
18612,CA,95830
18618,CA,95831
18624,CA,95832
18630,CA,95833
18636,CA,95834
18642,CA,95835
18648,CA,95837
18654,CA,95838
18660,CA,95841
18666,CA,95842
18672,CA,95843
18678,CA,95864
18684,CA,95901
18690,CA,95903
18696,CA,95912
18702,CA,95914
18714,CA,95917
18720,CA,95918
18738,CA,95922
18750,CA,95926
18756,CA,95928
18762,CA,95932
18780,CA,95936
18786,CA,95937
18792,CA,95938
18798,CA,95939
18810,CA,95942
18822,CA,95945
18828,CA,95946
18834,CA,95947
18840,CA,95948
18846,CA,95949
18858,CA,95951
18864,CA,95953
18870,CA,95954
18882,CA,95956
18888,CA,95957
18894,CA,95959
18900,CA,95960
18906,CA,95961
18912,CA,95962
18918,CA,95963
18924,CA,95965
18930,CA,95966
18942,CA,95969
18954,CA,95971
18960,CA,95973
18984,CA,95979
18990,CA,95982
18996,CA,95983
19002,CA,95987
19008,CA,95988
19014,CA,95991
19020,CA,95993
19026,CA,96001
19032,CA,96002
19038,CA,96003
19044,CA,96006
19050,CA,96007
19056,CA,96008
19062,CA,96009
19068,CA,96013
19086,CA,96019
19092,CA,96020
19098,CA,96021
19104,CA,96022
19110,CA,96023
19116,CA,96024
19122,CA,96025
19128,CA,96027
19134,CA,96028
19140,CA,96032
19146,CA,96033
19176,CA,96039
19182,CA,96041
19218,CA,96051
19224,CA,96052
19236,CA,96055
19242,CA,96056
19248,CA,96057
19260,CA,96059
19272,CA,96064
19278,CA,96065
19284,CA,96067
19296,CA,96073
19302,CA,96080
19308,CA,96084
19314,CA,96087
19320,CA,96088
19332,CA,96091
19338,CA,96092
19344,CA,96093
19350,CA,96094
19362,CA,96097
19368,CA,96101
19374,CA,96103
19380,CA,96104
19386,CA,96105
19392,CA,96106
19398,CA,96107
19404,CA,96109
19416,CA,96114
19428,CA,96118
19434,CA,96120
19446,CA,96122
19458,CA,96125
19464,CA,96126
