,zip_code,count,latitude,longitude,Price_1,Price_2,Price_3,Price_4,Rating_1,Rating_1.5,Rating_2,Rating_2.5,Rating_3,Rating_3.5,Rating_4,Rating_4.5,Rating_5,count_businesses,city
2388,98601,5,45.92269996954102,-122.429025056875,3,2,0,0,0,0,0,0,0,2,0,2,1,5,Amboy
2389,98604,54,45.77933385660843,-122.54452049013277,26,28,0,0,0,2,6,7,3,11,14,8,3,54,Battle Ground
2390,98605,10,45.72338355049157,-121.47136158964179,4,5,1,0,0,0,0,0,1,2,3,4,0,10,Bingen
2391,98606,3,45.7350481763516,-122.50781906604834,1,2,0,0,0,0,0,0,1,0,1,0,1,3,Brush Prairie
2392,98607,42,45.59459416086968,-122.4210552463506,20,21,1,0,0,0,0,6,3,14,9,9,1,42,Camas
2393,98610,3,45.730098,-121.81294533333335,0,3,0,0,0,0,0,0,1,0,2,0,0,3,Carson
2394,98611,16,46.28226231253608,-122.904125957747,9,6,1,0,0,0,0,2,1,8,3,1,1,16,Castle Rock
2395,98612,2,46.20390212704545,-123.38419483112399,0,2,0,0,0,0,0,0,0,1,0,1,0,2,Cathlamet
2396,98614,3,46.272651999999994,-123.94489703333333,1,2,0,0,0,0,0,0,0,1,1,1,0,3,Chinook
2397,98616,2,46.0512995,-122.302232,0,2,0,0,0,0,0,0,0,2,0,0,0,2,Cougar
2398,98619,1,46.0187911987305,-121.291664123535,0,1,0,0,0,0,0,0,0,0,0,0,1,1,Glenwood
2399,98620,18,45.823842343951014,-120.80848776872305,11,7,0,0,2,2,2,1,3,1,2,3,2,18,Goldendale
2400,98621,1,46.35579,-123.60998000000001,0,1,0,0,0,0,0,0,0,0,1,0,0,1,Grays River
2401,98624,5,46.30723344339058,-124.04118613599819,1,4,0,0,0,0,0,0,0,1,1,1,2,5,Ilwaco
2402,98625,11,46.012462867275765,-122.84641083299901,5,6,0,0,0,0,0,1,1,1,4,3,1,11,Kalama
2403,98626,37,46.13793044718262,-122.89925021182498,20,17,0,0,0,0,2,6,7,8,8,6,0,37,Kelso
2404,98628,1,45.81413,-121.16096399999999,0,1,0,0,0,0,0,0,0,0,1,0,0,1,Klickitat
2405,98629,9,45.86233633295577,-122.67129071215443,2,6,1,0,0,0,0,2,3,0,2,1,1,9,La Center
2406,98631,28,46.352470161258836,-124.05450017686836,11,17,0,0,0,0,0,2,3,10,9,4,0,28,Long Beach
2407,98632,96,46.140190747429784,-122.94253837029373,54,42,0,0,0,2,4,9,17,22,29,9,4,96,Longview
2408,98635,1,45.705220255673105,-121.281509399414,1,0,0,0,0,0,0,0,0,0,0,1,0,1,Lyle
2409,98637,1,46.50028991699221,-124.033477783203,1,0,0,0,0,0,0,0,0,0,0,1,0,1,Nahcotta
2410,98638,2,46.3641084301758,-123.792154407959,0,2,0,0,0,0,0,0,0,0,0,1,1,2,Naselle
2411,98640,6,46.497032895132456,-124.05099004406934,3,3,0,0,0,0,0,1,1,0,1,2,1,6,Ocean Park
2412,98641,1,46.550083,-124.02588600000001,0,1,0,0,0,0,0,0,0,0,0,1,0,1,Oysterville
2413,98642,25,45.817957180884626,-122.70126263448394,4,19,2,0,0,0,0,2,2,8,11,1,1,25,Ridgefield
2414,98644,8,46.33414083739721,-124.055048553389,0,7,1,0,0,0,0,0,3,0,4,1,0,8,Seaview
2415,98647,1,46.2695595638733,-123.452803986508,1,0,0,0,0,0,0,0,0,1,0,0,0,1,Skamokawa
2416,98648,21,45.68879964794426,-121.89431913031929,10,10,1,0,0,0,0,1,0,6,7,5,2,21,Stevenson
2417,98649,1,46.375679999999996,-122.6076,0,1,0,0,0,0,0,0,0,1,0,0,0,1,Toutle
2418,98650,1,45.9968572941484,-121.526861160854,1,0,0,0,0,0,0,0,0,0,0,1,0,1,Trout Lake
2419,98651,2,45.73538132784314,-121.53984199916351,1,1,0,0,0,0,0,0,0,0,0,2,0,2,Underwood
2420,98660,62,45.630233328499884,-122.66972203253867,19,43,0,0,0,0,0,0,2,9,27,23,1,62,Vancouver
2421,98661,51,45.63868823883468,-122.62891369363861,28,23,0,0,0,0,0,1,1,14,25,9,1,51,Vancouver
2422,98662,46,45.663550738102835,-122.57445023949217,20,26,0,0,0,0,1,1,4,20,11,9,0,46,Vancouver
2423,98663,6,45.64543317768878,-122.65989253815052,4,2,0,0,0,0,0,0,0,0,2,4,0,6,Vancouver
2424,98664,8,45.624505102407916,-122.58349374304264,5,3,0,0,0,0,0,0,0,1,4,2,1,8,Vancouver
2425,98665,63,45.679732008367786,-122.65804786821955,30,33,0,0,0,0,0,7,13,9,22,10,2,63,Vancouver
