,Unnamed: 0,zip_code,count,latitude,longitude,Price_1,Price_2,Price_3,Price_4,Rating_1,Rating_1.5,Rating_2,Rating_2.5,Rating_3,Rating_3.5,Rating_4,Rating_4.5,Rating_5,count_businesses,city
1690,1690,96743,72,20.00908734056848,-155.7471651880725,23,37,7,5,0,1,2,3,7,16,21,20,2,72,Kamuela
1691,1691,96744,43,21.42589495357797,-157.8098078399303,10,33,0,0,0,0,0,1,1,9,17,13,2,43,Kaneohe
1692,1692,96746,84,22.066283840816325,-159.32213077856582,28,52,3,1,0,0,1,2,4,17,21,31,8,84,Kapaa
1693,1693,96747,2,21.9326797608502,-159.63882366394145,2,0,0,0,0,0,0,0,0,0,0,1,1,2,Kaumakani
1694,1694,96748,11,21.08739258967964,-156.99843265313655,8,3,0,0,0,0,0,0,0,3,3,5,0,11,Kaunakakai
1695,1695,96749,11,19.618527359094518,-155.03783464721164,8,2,0,1,0,0,1,0,2,3,2,1,2,11,Keaau
1696,1696,96750,26,19.52475592900133,-155.9247814093125,7,18,1,0,0,0,0,1,0,2,9,8,6,26,Kealakekua
1697,1697,96752,2,22.0244295,-159.77176599999999,1,1,0,0,0,0,0,0,1,0,1,0,0,2,Kekaha
1698,1698,96753,128,20.722497382588607,-156.44847900669663,26,79,21,2,0,0,0,1,3,23,46,48,7,128,Kahakuloa
1699,1699,96754,12,22.20811164706129,-159.41571868688186,3,9,0,0,0,0,0,0,0,2,5,5,0,12,Kilauea
1700,1700,96755,7,20.231487180553433,-155.80236528940213,4,3,0,0,0,0,0,0,0,1,1,4,1,7,Hawi
1701,1701,96756,60,21.885696588615637,-159.46089181224994,14,33,11,2,0,0,0,0,5,14,25,14,2,60,Koloa
1702,1702,96757,2,21.15506967555455,-157.037423826721,0,2,0,0,0,0,0,0,0,0,1,1,0,2,Kualapuu
1703,1703,96759,1,21.457413,-158.058758,0,1,0,0,0,0,0,0,0,0,0,0,1,1,Kunia
1704,1704,96760,1,19.5929742974485,-155.05735483783198,1,0,0,0,0,0,0,0,1,0,0,0,0,1,Kurtistown
1705,1705,96761,127,20.91141885075868,-156.67813216992528,35,72,12,8,0,0,0,1,3,22,52,39,10,127,Lahaina
1706,1706,96762,13,21.640889511866693,-157.92196311704726,6,7,0,0,0,0,0,0,1,2,3,7,0,13,Laie
1707,1707,96763,12,20.798211228664158,-156.9122299629345,2,5,4,1,0,0,0,0,0,0,9,3,0,12,Lanai City
1708,1708,96765,2,21.903715486218253,-159.485053840332,0,2,0,0,0,0,0,0,0,1,0,1,0,2,Koloa
1709,1709,96766,54,21.970791064088086,-159.36694638890074,23,28,2,1,0,0,0,0,6,4,22,19,3,54,Lihue
1711,1711,96768,13,20.84736858454676,-156.32050607569585,4,8,1,0,0,0,0,0,0,4,6,3,0,13,Makawao
1712,1712,96771,5,19.5370269385268,-155.12730821497559,2,3,0,0,0,0,0,0,1,0,2,2,0,5,Mountain View
1713,1713,96772,9,19.05811975726928,-155.60698510452337,4,5,0,0,0,0,0,0,1,0,2,2,4,9,Naalehu
1714,1714,96776,1,20.029943600000006,-155.3479969,1,0,0,0,0,0,0,0,0,0,0,0,1,1,Paauilo
